S.No.,Jokes
10095,"Nazis!" - the History Channel
10096,Can everyone start saying salad is really bad for me so I can start craving it?
10097,I only do cocaine with the flexible straws. So I can reach my dashboard while i'm driving.
10098,I like my women like I like my Star Wars. Ruined by George Lucas.
10099,Never raise your hand to your children - it leaves your midsection unprotected.
10100,Sometimes I feel like I've traveled back in time, and that I'm not supposed to do anything that screws up a future that I've forgotten.
10101,I hate it when people come to MY house, knock on MY door then ask me why I'm not wearing pants.
10102,Just before a Subway employee starts making my sandwich, I'll stop them and whisper, "Like you mean it."
10103,"I don't care how much you hate this person, I REALLY suggest you two be friends." -Facebook
10104,Isn't it fun how many different shapes pasta can be? My wife left me last night.
10105,I'm sick of being the guy everyone comes to when they want the money I owe them.
10106,"Mom, I'm here to make your boobs big." - smiling 3 yr old comes out of garage with a bike pump.
10107,*flips cap backwards* son, let's keep it real *puts on another cap* the realest *puts on suit made of backwards caps* REALality. word.
10108,Back when I was a kid we stared at the wall when we took a shit and we liked it!
10109,Waiter, there's an I in my team
10110,twitter: the only place where you get excited when a stranger follows you
10111,FREE HOROSCOPE: You look terrible today. Avoid stuff and people. Don't buy a Kindle. Also, brush your teeth more often.
10112,i didnt give that homeless guy money because his beard wasnt up to my standards. clean your act up homeless guy
10113,Advertising taught me that hair conditioner makes you move in slow motion.
10114,I just answered someones question with..... I Reckon. and now I have to move to Oklahoma.
10115,Me: "What's wrong?" Wife: "Nothing's wrong." [Sighs heavily. Rolls eyes. Clenches jaw. Bursts into flame.] Me: "I think something's wrong."
10116,I believe in boobs at first sight.
10117,If the backup sensor beeping in my car is keeping with the beat of the song I'm listening to I'm probably just gonna hit whatever it is.
10118,"Who's on first?" "David." "Cool." -Abbott and Costello's first draft
10119,It's better to have loved and lost than to notice a typo after you've already hit "send."
10120,I've been repeating the same mistakes in life for so long now I may as well call them traditions.
10121,Stupid baby keeps knocking my bong over.
10122,The fact that we're supposed to reuse a vagina after a mini human has crawled out of it kinda bums me out.
10123,What is the holdup on square fruit, scientists?
10124,Friends don't force friends to watch 'funny' YouTube videos.
10125,My Facebook friends fall into 3 categories: vaguely remember, don't remember at all, or never want to speak to for the rest of my life.
10126,How long do you have to wear a soul patch before your cravings for souls goes away completely?
10127,Manslaughter: The sound a man makes when laughing.
10128,I'm not saying all Irish are alcoholics, but Italians, Chinese + Mexicans have restaurants. The Irish only have pubs.
10129,I'll never understand why the guy that invented braille didn't just put the dots in shape of the actual letters.
10130,I wore Pirates of the Caribbean pajama pants to the gym and ran backwards on the treadmill because I want a nickname there.
10131,I don't have a vagina, but I'm pretty sure sex feels a lot like cleaning your ear out with a Q-tip.
10132,What do these owners think when choosing music for their stores restroom? "oh yeah people like to listen to this when they're taking a shit"
10133,When I was a kid, I liked to lay face down in the snow with a boner and make "snow girlfriends."
10134,I don't trust this 'would you like cash back' bullshit. I'm trying to give you my money, but you're also trying to give me my money? Weird.
10135,I took an instagram picture of a polaroid photo and my iPhone blew up.
10136,Toy Story 5: Jason Statham must deliver the last iPad to Uganda, in a prius, and he has to drift the entire trip or the car will explode
10137,This fly I just killed in my apartment is more talented than every celebrity that tweets on this fucking site.
10138,Baby's first cigarette!
10139,I just read a list of "100 things to do before you die." I'm surprised "yell for help" didn't make the list.
10140,It's hard to be naked and baked without wondering why the two words don't rhyme.
10141,Coffee's a great way to fool yourself into believing you're going to have a productive day.
10142,The cashier is telling me to "have a nice day," but judging by her tone she wants me to "die in a tire fire."
10143,In most conversations, my face is basically a red battery logo with 10% written next to it.
10144,Kim Kardashian is essentially three asses stacked on top of each other.
10145,Of course I can tweet, talk on the phone, eat a hamburger, and apply my lipstick. I'm only driving, you know.
10146,Nobody likes you "100 Calorie Packs." Nobody.
10147,When you say "liar liar pants on fire," it makes you a liar too. Their pants probably aren't on fire
10148,If you throw a ping pong ball in the air, no less than 45 Chinese people will materialize to catch it & start a tournament.
10149,I said "your right" to my husband this morning. He thought I said "you're right" but I didn't. So I win.
10150,I just saved a bunch of money by not paying any bills cuz I don't have a job.
10151,at the gym...what machine can i use to impress a lady??..gym instructor:try d atm machine by the road..
10152,My neighbors listen to great music... whether they like it or not.
10153,Steve Buscemi makes me regret buying a high definition tv.
10154,A Thursday night "Just got Paroled!" party down the street! Wooooo! HELL YEAH!! I'm gunna wear my best knife for this one y'all!
10155,I just saw a picture of a duck posing and doing a dumbwhitegirlface.
10156,Holocaust jokes are tasteless, anne frankly, you people should be ashamed of yourselves.
10157,These generic frosted flakes are ooooooookay.
10158,"I just can't control myself around you" - Me talking to a homemade batch of cookies
10159,I don't think black people know that you can get just one tattoo.
10160,Being an asshole lowers people's expectations of you. (Except on Twitter, where assholes must continue to prove they are assholes)
10161,Whether my dreams are good or bad, waking up is always worse.
10162,I wonder if Ronald McDonald sadistically cackles as he bludgeons innocent chickens and uses clown magic to turn them into nuggets.
10163,I bet girls on facebook with the duck faces look for men that make a lot of bread.
10164,"Who am I kidding?" - blind comedians
10165,Taco Bell is human Drano
10166,Howabout plastic, reusable tortilla chips where you could just suck the guacamole off them?
10167,The enemy of my enemy is my friend, unless it's one of those half-wits who always says "ironic" when they mean coincidental.
10168,"Shit, I have to go." - Yoda, Jedi Master Humorist, iChat
10169,Meeting with a social media consultant about how to better leverage my twitter stream for optimum engagement. Kidding. Banging your mom.
10170,This motel room smells like despair. Or is that my deodorant? The tuna sandwich, maybe. This hooker? My jeans? I bet it's my jeans.
10171,You want to scare someone? Call them.
10172,God: I made you in my own image. Adam: Your penis looks bigger.
10173,If I start removing my earrings while maintaining eye contact, you're either in for the fuck of your life, or you'd better fucking run.
10174,The weirder Rihanna's tattoos get the less I blame Chris Brown.
10175,I hope the person who knocked repeatedly on the bathroom door knows I took longer on purpose.
10176,What am I doing today? Well I forgot my headphones so probably murders.
10177,I tried to blow a hair off my laptop screen so now there's some spit next to the hair.
10178,I'm glad so many American children have smart phones since they don't have an education.
10179,Every time your kid starts crying when they don't get what they want, just say "I don't negotiate with terrorists."
10180,Seriously, this is the last time I trust a baby with firearms.
10181,I love Clint Westwood easterns. Especially The Bad, the Good and the Handsome.
10182,'Don't say foreskin instead of four score don't say foreskin instead of four score you GOT this Abe' *AHEM* "FORESKIN FUCK LEMME START OVER"
10183,There needs to be a "Sorry I clogged your toilet" Hallmark card.
10184,I know I'll be a good father. I've had my iPhone for over 6 months now and I've only dropped it 182 times so far.
10185,While other countries are doubling down on education, we're using chicken breasts as sandwich bread.
10186,A kick in the balls is above 9000 del (units) of pain which is similar to giving birth to 160 kids and breaking up to 3200 bones at a time.
10187,Going through life totally ignorant must be the only way to find true happiness.
10188,I try to refrain from farting while I masturbate. For I am a gentleman.
10189,If someone doesn't realize their blinker is still on after one minute their car should explode.
10190,I hate when my iPod earbud cord gets hung on an object and it violently rips the earbud out and I get that murder-y feeling.
10191,"HEY I KNOW YOU'RE PROBABLY ASLEEP & STUFF, BUT I JUST WANTED YOU TO KNOW THAT I'M LIKE 22 MILES AWAY FROM YOUR HOUSE RIGHT NOW." -Trains
10192,When I'm in the car and a sad song comes on the radio, I stare out the window and act like I'm in a movie.
10193,Whoever wins the Oscar for Best Sound Mixer is gonna get so much sound mixing pussy it's not even funny.
10194,Every frozen yogurt store feels like you're hanging out inside a Japanese girl's backpack.
10195,Remember when racism meant a political candidate wasn't viable? That was weird.
10196,Sometimes I like to freak out the toddler by putting my iPad to my ear and frantically asking her if I've been miniaturized.
10197,R1D1 must have sucked.
10198,People think it's okay to drive like assholes until we end up at a stoplight together and I'm dropping my rottweiler through their sunroof.
10199,Ancestry.com will not get a cent of my money until they can tell me which apes I came from.
10200,Stare at the waitress's boobs when you tell her you want "everything" on your sandwich. Ya never know...
10201,The guy that takes a picture for girls at a club never gets laid.
10202,For every stripper with "daddy issues" there are 10 more "daddies with stripper issues"
10203,No I didn't want a receipt but now that you've asked me I'm suspicious, so yes, I will have that receipt now please.
10204,If all the corner pieces of a cake are gone, I calmly pull the emergency icing out of my purse & frost the edges of an inside piece.
10205,It was nice of Apple to invent a mirror I can send emails with.
10206,The divorce rate among my socks is astonishing.
10207,It'd be cool if a firetruck was like an ice cream truck and just drove around selling fire to kids.
10208,Noah's flood = God clearing his browser history
10209,The internet is the devil sitting on the right shoulder of a man who suffers from insomnia, whispering in his ear "you will never sleep".
10210,As a man, it's impossible to walk passed a punching bag and not hit it twice before walking away.
10211,Dictators dress to oppress.
10212,Can't believe it's the Chinese New Year. I'm still writing Rabbit on all of my checks.
10213,Who needs viagra when there are pictures of old women with dyed orange hair and their eyebrows penciled in on the internet
10214,I have no beef with vegetarians.
10215,Newt Gingrich's face looks like a fat woman's knee.
10216,Parents, you can help end childhood obesity by teaching your kids how to smoke cigarettes.
10217,Think about how much women could accomplish if they didn't spend half the day taking pictures of themselves in bathroom mirrors.
10218,When the side effect of a quit smoking aid is suicide, they really mean their guarantee that you'll stop smoking.
10219,It makes more sense to dump Gatorade on the losing head coach.
10220,At a local restaurant, I got on one knee and she said yes. 13 years later I haven't got the balls to tell her I was just chasing a crouton.
10221,I'm very anti-slavery, but boy do I hate laundry.
10222,12,000 BCE: Humans hunt woolly mammoths with stone-tipped spears. 2012 AD: I apply acne medication to my cat's chin.
10223,Silly Rabbit, Trix are for a culture of entitled white American children who are systematically fed a diet of high fructose corn syrup.
10224,Held A door open for an Asian man today he said "sank you"... He better not be referring to pearl harbor..
10225,"War Horse" and "The Help" are the SAME movie! I watched them on my laptop and they BOTH have a 90 minute scene where I just check Facebook.
10226,Just ate McDonalds after working out, which is the same as taking a shit after a shower.
10227,I wish my kid had a "BAD MOTHERFUCKER" tattoo so that when asked which one was mine I could say "THE ONE THAT SAYS BAD MOTHERFUCKER ON IT!"
10228,The only thing I know about football is that Edgar Allen Poe is the coach of the Ravens.
10229,Just found out I'm willing to drive 40mph over the speed limit to prevent a PT Cruiser from passing me.
10230,This kid at my nephew's birthday party shit his pants and got to go home. I'm seriously considering this option.
10231,With abs like his, are we certain Jesus didn't just diet for our sins?
10232,Gotta hand it to midgets sometimes. You know, cause they can't reach and all.
10233,If someone from New Jersey bites you, are you from New Jersey?
10234,People who make me do a slight jog because they hold the door open for me when I'm 15 feet away are the first to die when I become god.
10235,Always have a fake name at the ready so you don't tell the cops something stupid, like "Andrew Granola."
10236,How exactly is carrying a screaming two year old different from playing the bagpipes?
10237,I took a taste from the bag of white powder I found in my son's backpack and my worst fears were realized. Gymnastic chalk.
10238,This line for the bathroom at Starbucks is longer than kim kardashians whole marriage.
10239,"Newt Gingrich" sounds like the name of a villain that JK Rowling made up.
10240,It blows my mind that people walk around acting like Steve Harvey won't jump out from behind a bush at any moment & murder them.
10241,I'm pitching a prison dating show called 'America's Next Top Bottom'
10242,It's not illegal to wear a pinstripe suit & slick back your hair. Then go to a restaurant & ask them if they got "that thing" while winking.
10243,According to WebMC, I be illin'.
10244,You think you can take me, tough guy? I'd like to see you try. Seriously, anywhere fun you might be going. Take me with.
10245,I would imagine there really isn't any market for sea shells down by the sea shore considering the abundance of free sea shells.
10246,A girls diet always starts tomorrow...
10247,I wish lap dance minutes felt like treadmill minutes.
10248,I'm in the middle of inventing emo playing cards. You have to shuffle them, but afterwards the deck cuts itself.
10249,Sometimes I'll send a tweet, notice a typo in it, delete it, re-send it, notice a different typo, unplug computer, change my name and move.
10250,I just sent out my daily 6am text to a random number saying "I hit Zack with my truck. I'm going to need to use your hacksaw to cut him up."
10251,My three year old just looked up at me and clear as day said, "I'm sick of this shit." And all I could do was nod because he is so right.
10252,The American flag should be a picture of a cheeseburger watching TV on a couch made of fries.
10253,Don't you hate it when spiders bite you and you get like zero superpowers?
10254,Ran my first 10K this morning. Just kidding I'm on my third donut.
10255,I have 2 missed calls from my mother. I think it's safe to say that by now there's a rescue team out there looking for me.
10256,1. Denial 2. Anger 3. Bargaining 4. Depression 5. Acceptance......... The 5 stages of wearing a condom.
10257,College is just a clever marketing ploy by Starbucks and Red Bull
10258,"This is not a drill!" -Lying electric drill that refers to itself in the third person
10259,Whoever told black people they'll explode if they talk quietly needs to let them know they were just kidding.
10260,There is nothing worse than watching the new guy at Subway make your sandwich.
10261,Why does using a straw make it so much harder to admit there's no more soda?
10262,I call bullshit on these retro bottles of Coca-Cola. They make you add your own cocaine.
10263,SCIENCE FACT: if you took all of the veins from your body and laid them end to end, you would die.
10264,Super hot girl working the snack stand at the theater ... and I just ordered a "cockporn with extra butter". Thanks brain.
10265,A heads up to girls on Facebook .. if your status says "single" and your profile picture is you with your cat - Well then no fucking shit
10266,If you emphasize the po in police they're probably already after you.
10267,"Do drugs!!" - Reverse psychology drug prevention program
10268,Apparently my facebook friend, Ashley, has a cat suffering from a horrible hairball. I'll be spending the day praying for it like she asked.
10269,Around here we commonly refer to our intellectual property as 'our shit'.
10270,If sex is the food of life, then masturbation is a snack in between meals.
10271,Me and my cat have been staring at each other for so long I forgot which one of us is stoned.
10272,Asian people, when surprised, look similar to white people who are staring into the sun
10273,DUCT TAPE. Turning "No! no! no!" into "Mmm, mmm, mmm."
10274,Guys, if you want to make a girl moan, tremble, and scream: be a spider.
10275,"They're meh." --Tony the Tiger, off his Paxil for a few days
10276,"I'm too sexy for my mom." - Right Said Freud
10277,I'm sorry previews, but "best movie of the year" means nothing to me on January 18th.
10278,Need to call in a hot female carpenter to fix this morning wood.
10279,Who forgot his phone charger today? THIS gu
10280,"I like the way you move!" -Jealous inanimate object
10281,You deserve a handjob from Edward Scissorhands.
10282,"Oh NOW Burger King delivers!" -Paula Deen
10283,When someone tells me, "Great question." I never hear their answer because I'm busy congratulating myself for asking such a great question.
10284,How do I explain to this bank teller than I'm just robbing her and not the bank?
10285,How I view dogs: Beagle, German Shepherd, Poodle, Pitbull, Labrador. How I view cats: Cat, cat, cat, cat.
10286,Ba ba black dude, have u any weed? - Racist nursery rhyme
10287,Tried to donate blood today but they had too many questions about where I got it.
10288,Peeing is Foursquare for dogs.
10289,If you take the word "spatula" out of the dictionary it's just a list of things that aren't spatulas.
10290,I just poured out a bottle of Listerine for my homie Steve Buscemi, who we've lost to gingivitis.
10291,Spin the bottle is a lot like Russian Roulette if there's an ugly person there.
10292,Everyone's a feminist until they're stuck on a sinking ship.
10293,My Dads career advice was "Do what you love". So I'm trying to make a living jerking off and playing video games.
10294,Drinking on Tuesday because I'm consistent.
10295,In porn, large breasted women home alone order a LOT of pizza and never have money. They've lots to learn about nutrition & cash management.
10296,The woman who first decided that tights are pants should get the Nobel Peace Prize.
10297,And the award for worst sentence I've ever read, "Kid Rock apologized for smoking a cigar at a non-smoking Travis Tritt concert in Detroit."
10298,Dear GPS, Please add an, "avoid ghetto" option. Sincerely, Scared
10299,My advice is to make money the old fashioned way (by intercepting Spanish galleons transporting gold from the New World).
10300,I can't wait for MTV's next reality show about car wash employees that hold in farts until they're cleaning the inside of your car.
10301,"The last ''Sup?'" - cool Bible
10302,"what if today's the day you learn about tacos and ostriches? You don't want to miss that, do you?" - me manipulating my kid to school.
10303,Modern fast food has a "fuck you" attitude that I relate to on a deeply personal level.
10304,"I'm up for anything" - penises
10305,Some people are about as useful as the "r" in February.
10306,I'm starting to think people are having babies solely for the Facebook likes.
10307,Gonna get a tattoo of two big trucks crashing into each other and then maybe there's like a scorpion on the side of the road doing push-ups.
10308,I'm thinking of something really stupid to tweet -all of us all the time
10309,I got a flyer in the mail that said "Get into a new car no questions asked!" Bullshit... my neighbor still asked WTF I was doing in his BMW.
10310,The older Cameron Diaz gets, the more she and Mickey Rourke look like brothers.
10311,"So I was on a spaceship, and you were there, but it was not you, you know? Anyways..." - MLK's less important dream
10312,I only like foods that begin with the word "cheesy".
10313,I might care more about Twilight if Count Chocula was in it.
10314,I'm shocked that not one dairy farmer in Israel has thought to call his company "Cheeses of Nazareth"!
10315,If I won Super Bowl tickets for me and 10 friends I'd have to sell at least 7 on ebay.
10316,Every time I lay down in bed I think 'why didn't I do this sooner?'
10317,"Frequently Asked Questions" is the most cheerfully passive-aggressive page of any website.
10318,The good news is, I found my phone charger in my bed while I was vacuuming my sheets. The bad news is, you read that 2nd part correctly.
10319,Is it true that in prison sometimes a man will try to kiss another gentleman even if he doesn't want to kiss him back?
10320,Just downloaded the MySpace app and my iPad transformed into a Commodore 64.
10321,The number of times you've found a hair in your food is not nearly as scary as the number of times you haven't.
10322,There's literally no way to know how many chameleons are in your house
10323,My kid just asked me where Washington 3-D is, because she wants to see the presidents house...Now I can't decide if she's cute, or retarded.
10324,I wish that if you stopped yourself from sneezing enough times you could shoot an energy ball out of your hand.
10325,Einstein took naps during the day. So if you want to be smarter, my advice is to take more naps while having an IQ of 160.
10326,One time I got so high that I accidentally got a job at McDonald's.
10327,Guys are all, "Wanna go to my bachelor party?" because asking, "Wanna hang out in a room and get boners together?" would be gross.
10328,I just got a DM from a guy who said he was a Day Trader. I offered him 3 Mondays for a Friday.
10329,If you prefer a particular brand of bottled water, you should be sent away to a special camp.
10330,I don't understand romantic movies, why waste all that time with the complicated, man-hating main character when her slut friend is cuter.
10331,I'm a firm believer in the separation of church and hate.
10332,The toughest decision I will make today is wine or beer... Life is rough..
10333,The way to a man's heart is through his stomach. Stab in and thrust up.
10334,Pretty sure Brazil has an enormous wax museum.
10335,Thanks a lot, gourmet cupcake shops. You've taken a perfectly good treat and turned it into an asshole.
10336,Hey everyone in a play pretending to drive a car - stop steering so much.
10337,Flip flops are fun because every time you take a step it's like a high-five for your feet.
10338,Ran out of Manila envelops. Off to the Philippines.
10339,"Every time I go out, the paparazzi wants to make an oil painting of me. So annoying." - 1700s celebrity
10340,My Masseuse just read 'Cinderella' to me ~ That's the last time I ask for a happy ending.
10341,The best person to get thrown in jail with would have to be the Kool-Aid Man.
10342,Today my 6 yr. old nephew asked my what "gay" meant. It wouldn't have bothered me so bad, but it was right after he saw me throw a baseball.
10343,Just saw a redhead drinking Ginger Ale. It looks to be making him stronger. We must stop him before it's too late.
10344,Siri, answer all of my toddler's stupid questions.
10345,I hope my wife and children never learn the things that I have done for a Klondike Bar.
10346,I wanted to bake a cake from scratch, but I'm out of scratch.
10347,So say some animals *were* injured in the making of a film. Is that listed in the credits or what? "Bob hurt one bird. He's very sorry."
10348,She sells sea shells, to multi-national oil drilling companies who use them as their logo, by the sea shore.
10349,I just called the suicide hotline AND THEY DON'T THINK RUNNING OUT OF MAPLE SYRUP WHILE I'M EATING PANCAKES IS A REASON TO KILL MYSELFFFF!!!
10350,I like jury duty because it's a fun reminder that one day my life could be in the hands of a guy wearing Velcro shoes.
10351,The USA should invade the USA and win the hearts and minds of the population by building roads, bridges and putting locals to work.
10352,Is there a Hallmark card for "I think it's time we try anal"? There should be.
10353,Why would you pay $80 for a bra at Victoria's Secret when I will hold your boobs up all day for half that?!
10354,Shit happens. Just flush the toilet and move on.
10355,This guy gave me a free copy of his book today. An actual printed copy! I had no idea they were still doing this kind of thing. It's fancy.
10356,Sometimes I'm tempted to run into a Gym and tell men which machine they should be using to impress women. It's called an ATM.
10357,My girlfriend told me that she has bronchitis. I wish I had a dinosaur.
10358,I'm holding a latte and a scone while I break into this Audi so people think it's mine and I've locked my keys in it.
10359,Caught my wife in bed with a guy, says he's here to fix this wobbly wood bed frame. It seems legit, his Carpenter jeans are on the Floor.
10360,Apparently, the answer "I Know" is not a good answer when your friend tells you how good his girlfriend is in bed
10361,Just crushed my son in an epic game of Monopoly. His tears flooded Baltic Avenue.
10362,Weighed myself. Did elliptical for 30 minutes. Weighed myself. Half a pound heavier. Never exercising again.
10363,My overnight bag is just a backpack full of Sour Patch Kids.
10364,Trying to get this hot girl at the bar jealous, so I'm slow dancing & making out with a potted plant. It's working, she's been staring at me
10365,My cat went missing, so I put up posters of myself that says... "If you're reading this, you better get your ass back home right now!"
10366,This isn't rain, it's God slaughtering a giant cloud.
10367,This unicorn sitting next to me is saying that I drank too much
10368,If you want to piss off a fat person, just date their ex. They hate when someone messes with their leftovers
10369,I think the only thing a bike helmet protects you from is getting laid
10370,Why haven't Fruity/cocoa pebbles teamed up with a milk company to make the flavor of milk that has the taste after you eat the cereal.Idiots
10371,I can't find my lucky sweatpants. Now I'm going to totally bomb this job interview.
10372,Curiosity killed the cat, and got your daughter pregnant.
10373,What percentage of police officers are strippers and what percentage of strippers are police officers? I'm confused.
10374,Picture a sandwich. Now picture another sandwich that talks. Picture a third sandwich. I'm really high.
10375,When you find a body beneath your floorboards is it face up or face down that's good luck?
10376,Ripping a blaring fart every now and then lets your masseuse know who's in charge.
10377,Two people who really hate each other can suddenly really like each other if they can find someone else they can both really hate together.
10378,Question: What's better, Star Wars or Star Trek? Answer: Knowing what intimacy with another living human being feels like.
10379,Whenever I drink whiskey, I turn into Kermit the Frog. I start talking funny, I turn green, and then I end up fucking a fat pig
10380,All i'm saying is, before Back to the Future 3, he was fine.
10381,Now a days saving your virginity for someone "special" is like holding a dump to wait for a special toilet
10382,They say firemen are courageous because they run into burning buildings to get things out. So do black dudes during a riot.
10383,If I found out I only had a week to live, and could go anywhere in the world, I think I'd go to the hospital because that sounds serious
10384,Really? Wow! (The only two things I ever say to kids)
10385,I'm currently standing in the 12 items or less line, holding 16 items, freaking the fuck out.
10386,I like to sit outside Barnes & Noble with my iPad and make caveman noises at the people coming out with real books.
10387,My fake ID is so good, bars never suspect I'm not an organ donor.
10388,Remember those girls in college who neatly highlighted all of their text books in pink? They work at the cosmetic counter at Macy's now.
10389,Did it ever occur to you that people with tear drop tattoos are just really sad?
10390,I chug everything I drink just so people can't say I have a problem with alcohol. So you're telling me I have a problem with Pepsi too, mom?
10391,I want to piss on the guy that stole my tweet, changed it slightly and submitted as his own on FunTweets and then set him on fire.
10392,How much do my arms have to weigh before I can be considered heavily armed?
10393,It's crazy how tornadoes know which states don't matter to us.
10394,Kids don't listen! I've told mine a hundred times to fall off the top of the slide during recess so we can sue the school.
10395,Is it just me or do those red foil wrapped Hershey's kisses taste almost identical to the silver foil Hershey's kisses? I'll keep testing.
10396,The only thing that would make my morning more productive is actually doing something.
10397,Unless you're going to tell me there's a sniper target on me, it's okay, I can wait for you to finish chewing to hear what you have to say.
10398,As a kid, I was less concerned about Goldilock's safety than I was about Mama and Papa bear not sleeping in the same bed anymore.
10399,There's no "creative" way to arrange 29 sponsor logos. Let it go, walkathon t-shirt designer.
10400,I haven't spoken to my wife in 8 days because she hates it when I interrupt her
10401,I consider Words with Friends a work-related activity because it helps me take my mind off being stuck in this shithole.
10402,Girls who say "I hate drama" can usually be found drunk and crying on a public toilet.
10403,If you really think about it, James Earl Jones and Morgan Freeman tickling each other would be pretty much the greatest thing ever.
10404,Take me to a bar on an empty stomach and see how quickly I can become much more entertaining than the entire cast of Jersey Shore.
10405,Prison guard is a pretty good job. Who's going to steal a prison.
10406,Today, I'm going to give it my some.
10407,23% of traffic accidents involve cell phone use, but 77% do NOT involve cell phone use. Statistics don't lie. It's safer to use your phone.
10408,A brief guide to small talk: Read someone's t-shirt out loud to them. Ask what it means. Casually flick their nipple. Ask where they got it.
10409,Every time you enter a room, you should say "Smells like farts in here." This way when you fart later, they'll never suspect you.
10410,"listen up, I'm only going to show you this once!" ~ suicide bomber teacher.
10411,Hey TV producers! Create a show for white people called "Brunch Wars". You're welcome.
10412,Smelling one of my farts has to kill at least 10 million brain cells. My dog doesn't even know how to bark anymore.
10413,I never really understood porn. I mean what does she really see in him? I doubt he even loves her.
10414,Every night Owen Wilson secretly prays tomorrow will be the day his son breaks his nose for the first time.
10415,"God hates fogs" - homophobic clouds
10416,"Honey, let's have a baby." - a cannibal couple discussing dinner plans.
10417,Guys, be sensitive. Fat people have feelings too. Usually hunger, shortness of breath, insecurity and itchiness in unreachable places.
10418,Instead of a wallet, I always keep my money in an envelope that says "For the orphans" so people will feel terrible if I'm ever murdered.
10419,I can't believe Lou Gehrig's parents named him after a DISEASE
10420,Every girl I bring home is unemployed, drunk and on drugs. I'm starting to think that whole "opposites attract" thing is bullshit.
10421,It's SO ADORABLE when my kid's fish sleeps upside down. Because that's what it's doing. Sleeping upside down. At least until I go to Petco.
10422,It's sad old people won't live to see time travel, because how bad do they want to find the jerk who carpeted over this beautiful hardwood?
10423,Perhaps one day he'll meet his Girl Fieri.
10424,I experimented A LOT in college. (I was a chemistry major.)
10425,If I burn my mouth on ONE MORE FUCKING PIZZA I will probably continue to buy and eat pizza for the rest of my life.
10426,I had a headache so I took a pill that gave me chest pains, dry mouth, restless leg syndrome & explosive diarrhea. But hey, headache's gone.
10427,Who wants to go to walmart and show off our teeth?
10428,People who pull on the back of your seat to stand up on a plane/bus are worse than Jeffrey Dahmer.
10429,I don't know about you guys, but I think Jesus would definitely have had a hard time paying for my sins on a carpenters salary.
10430,Deaf people have no idea why the rest of us think farts are funny.
10431,Horses are vegans, too, yet you don't hear them yapping on and on about it do you?
10432,I'm like Superman. When people see me out in public I'm always in the same outfit.
10433,When I hear the term "Flash Mob" I think of old Italian gangsters wearing nothing but trench-coats.
10434,Nice try traffic, but I'm not murdering anyone today.
10435,I'm on a whiskey diet. You should try it, I've lost 3 days already.
10436,Pizza Rolls are just Hot Pockets for midgets
10437,I hate when people post lyrics from songs, but I will survive.
10438,"You give me one leather jacket, I invest it, then give you back TWO leather jackets!" - Fonzi Scheme
10439,Looking for a book club where you have to discuss the same one every week? Try organized religion!
10440,Can someone go to the gym and work out for me? I'm trying to finish this pint of ice cream. Thanks
10441,Encyclopedias are just ghetto Google.
10442,Popeye was a lonely sailor. No wonder he had such big forearms.
10443,Guys, you're spraying on too much. It's a reason the word "cologne" rhymes with "alone".
10444,It's great that every Playmate "just wants a guy that makes them laugh", because I want a chick with fake boobs that can't form a sentence.
10445,I wonder who I'll be racist against when I'm elderly. I hope it's robots!!
10446,If I didn't have to pee, I'd probably never get out of bed.
10447,Maths joke: if you have a pizza with radius z and thickness a, it's volume is pizza (or pi*z*z*a)
10448,Terrifying to think that one puff of marijuana can transform your life into a carnival of lies & ultimately, murder.
10449,I found out when my birthday was and now I can never have a surprise party.
10450,Some guy had a concrete bench as his memorial. Seems odd but it's genius; he's dead and still getting ass.
10451,69% of people find something dirty in every sentence.
10452,The ironic thing about Americans making fun of Canada is Iowa.
10453,"Report Spam" is the elevator close door button of Twitter.
10454,I can't afford a police siren so I just taped a crying baby to the top of my car. It's working, people are moving out of my way.
10455,I think it's cool that our galaxy is named after a chocolate bar.
10456,Candy cigarettes are a gateway drug to rock candy.
10457,Oddly enough, when ducks take pictures of themselves, they make the drunk sorority girl face.
10458,Everyone knows Superman's father was Jor-El, but no one ever mentions his germophobic uncle, Pur-El.
10459,How does your stomach know to send the burps to the mouth and the farts to your bum?
10460,You know those voices in your head? Choose the smartest, sanest one and call it you.
10461,Everyone has to pay for their mistakes... except for banks. Banks are apparently exempt from a lot of shit.
10462,I always sigh and say "I love you," followed by a long silent pause just to see how bad telemarketers really want the sale.
10463,If you take something for granted you risk losing it. When I finally find my car keys, I'm telling them how much I love them.
10464,That chinese tattoo on your neck must be the symbol for unemployment.
10465,I swear to god if I ever see a car exploding I'm going to walk away from it in slow-mo and hope that somebody is filming it on their iPhone.
10466,The adult version of Operation is trying not to break a tortilla chip while dipping it into a jar of salsa.
10467,I never did too good in class tests; because I'd have to show on the board how I got my answers & that would've meant drawing me cheating...
10468,"It's not a colonoscopy, it's a colonoscpportunity!" - gastroenterologist who is also a motivational speaker
10469,Breastfeeding in public is a great way to get hit on. Especially if you forget to bring your baby.
10470,Insanity is doing the same thing over and over and expecting a different result but I still get up every morning.
10471,"I'm cold" - a talking ice cube or a woman
10472,Tattooing bullet holes where I had a stomach ache so I never forget what I've been through.
10473,Well, you know what they say about guys with big feet... it takes a Chinese newborn an extra three hours to make their goddamned shoes.
10474,Is William Shatner the past version of William Shitner?
10475,Need an ark? i Noah guy
10476,Chuck Norris doesn't flush the toilet. He scares the shit out of it.
